frame_nmr;license_number;license_number_score;time_of_operation
170;Tablica 1;0,878532484;0,515998602
173;Tablica 1;0,898043528;0,438001156
174;Tablica 1;0,89409972;0,468000174
175;Tablica 1;0,900287837;0,447999954
176;Tablica 1;0,891367041;0,470001459
177;Tablica 1;0,887805298;0,510000706
178;Tablica 1;0,895278051;0,429004431
179;Tablica 1;0,894565098;0,511002541
180;Tablica 1;0,897392079;0,430002451
181;Tablica 1;0,902747281;0,435999632
182;Tablica 1;0,901473321;0,558002472
183;Tablica 1;0,901641928;0,488993883
184;Tablica 1;0,876398608;0,41400528
185;Tablica 1;0,903153934;0,414009571
186;Tablica 1;0,907564573;0,415002823
187;Tablica 1;0,915546499;0,419002056
;;;
;;0,89661858;0,460314199
