frame_nmr;license_number;license_number_score;time_of_operation
0;Tablica 1;0,821030438;0,270354748
1;Tablica 1;0,822947435;0,10603404
2;Tablica 1;0,823158015;0,088000298
3;Tablica 1;0,822424818;0,09867382
4;Tablica 1;0,819993723;0,079862118
5;Tablica 1;0,814407721;0,092995405
7;Tablica 1;0,817295868;0,073747873
8;Tablica 1;0,818015054;0,075027704
9;Tablica 1;0,817145694;0,081315517
10;Tablica 1;0,818219032;0,082000494
11;Tablica 1;0,825425737;0,091999531
12;Tablica 1;0,825139195;0,07006526
13;Tablica 1;0,825517327;0,076001644
14;Tablica 1;0,824487105;0,095994711
15;Tablica 1;0,82399432;0,068992615
16;Tablica 1;0,824224103;0,082963467
17;Tablica 1;0,823115926;0,081955194
18;Tablica 1;0,821758829;0,073997498
19;Tablica 1;0,815897509;0,066002369
20;Tablica 1;0,815647006;0,081032276
21;Tablica 1;0,821501311;0,082906723
22;Tablica 1;0,821821962;0,080442905
25;Tablica 1;0,822137475;0,125013828
26;Tablica 1;0,821030438;0,124212503
27;Tablica 1;0,822947435;0,120999813
28;Tablica 1;0,823158015;0,111997366
29;Tablica 1;0,822424818;0,113001823
30;Tablica 1;0,819993723;0,108965635
31;Tablica 1;0,814407721;0,129009008
33;Tablica 1;0,817295868;0,125000477
34;Tablica 1;0,818015054;0,116958618
35;Tablica 1;0,817145694;0,182044506
36;Tablica 1;0,818219032;0,128005505
37;Tablica 1;0,825425737;0,242144585
38;Tablica 1;0,825139195;0,216412544
39;Tablica 1;0,825517327;0,438941479
40;Tablica 1;0,824487105;0,140991449
41;Tablica 1;0,82399432;0,09123826
42;Tablica 1;0,824224103;0,08944273
43;Tablica 1;0,823115926;0,118036985
44;Tablica 1;0,821758829;0,113030672
45;Tablica 1;0,815897509;0,118966341
46;Tablica 1;0,815647006;0,116005421
47;Tablica 1;0,821501311;0,122978926
48;Tablica 1;0,821821962;0,111857414
51;Tablica 1;0,822137475;0,086997986
52;Tablica 1;0,821030438;0,082000971
53;Tablica 1;0,822947435;0,074000597
54;Tablica 1;0,823158015;0,094010592
55;Tablica 1;0,822424818;0,076615095
56;Tablica 1;0,819993723;0,077598572
57;Tablica 1;0,814407721;0,08541584
59;Tablica 1;0,817295868;0,079694986
60;Tablica 1;0,818015054;0,082135201
61;Tablica 1;0,817145694;0,084940434
62;Tablica 1;0,818219032;0,085974216
63;Tablica 1;0,825425737;0,172678232
64;Tablica 1;0,825139195;0,099754095
65;Tablica 1;0,825517327;0,144471169
66;Tablica 1;0,824487105;0,09200263
67;Tablica 1;0,82399432;0,13715148
68;Tablica 1;0,824224103;0,115586519
69;Tablica 1;0,823115926;0,113638639
70;Tablica 1;0,821758829;0,10420084
71;Tablica 1;0,815897509;0,115090132
72;Tablica 1;0,815647006;0,113000154
73;Tablica 1;0,821501311;0,121005535
74;Tablica 1;0,821821962;0,110998154
77;Tablica 1;0,822137475;0,109047651
78;Tablica 1;0,821030438;0,114486694
79;Tablica 1;0,822947435;0,07869339
80;Tablica 1;0,823158015;0,085069895
81;Tablica 1;0,822424818;0,113258123
82;Tablica 1;0,819993723;0,172153473
83;Tablica 1;0,814407721;0,122466087
85;Tablica 1;0,817295868;0,113084078
86;Tablica 1;0,818015054;0,113143444
87;Tablica 1;0,817145694;0,115010977
88;Tablica 1;0,818219032;0,112375259
89;Tablica 1;0,825425737;0,122263908
90;Tablica 1;0,825139195;0,113598108
91;Tablica 1;0,825517327;0,107323408
92;Tablica 1;0,824487105;0,107678175
93;Tablica 1;0,82399432;0,098009825
94;Tablica 1;0,824224103;0,10783124
95;Tablica 1;0,823115926;0,07400465
96;Tablica 1;0,821758829;0,090001583
97;Tablica 1;0,815897509;0,102005243
98;Tablica 1;0,815647006;0,111129284
99;Tablica 1;0,821501311;0,208003998
100;Tablica 1;0,821821962;0,108201504
103;Tablica 1;0,822137475;0,103001118
104;Tablica 1;0,821030438;0,11994791
105;Tablica 1;0,822947435;0,181955576
106;Tablica 1;0,823158015;0,233040571
107;Tablica 1;0,822424818;0,126481771
108;Tablica 1;0,819993723;0,097997904
109;Tablica 1;0,814407721;0,116001129
