frame_nmr;license_number;license_number_score;time_of_operation
11;Tablica 1;0,776629634;0,11096549
12;Tablica 1;0,77498544;0,111007929
13;Tablica 1;0,77498544;0,103972912
14;Tablica 1;0,77498544;0,08400178
15;Tablica 1;0,77498544;0,085033894
16;Tablica 1;0,775325887;0,090874672
17;Tablica 1;0,775325887;0,07160449
18;Tablica 1;0,775325887;0,071812391
19;Tablica 1;0,775325887;0,080875635
20;Tablica 1;0,775325887;0,075935125
21;Tablica 1;0,775325887;0,090002537
22;Tablica 1;0,775325887;0,096050262
23;Tablica 1;0,77498544;0,089032173
24;Tablica 1;0,77498544;0,189810276
25;Tablica 1;0,77498544;0,11553359
26;Tablica 1;0,77498544;0,200000525
27;Tablica 1;0,77498544;0,171999693
28;Tablica 1;0,775052331;0,170977592
29;Tablica 1;0,776638478;0,110075235
30;Tablica 1;0,776638478;0,114998579
31;Tablica 1;0,776638478;0,108963013
32;Tablica 1;0,776712436;0,096996546
33;Tablica 1;0,776712436;0,096181631
;;;
;;0,775529237;0,110291564
