frame_nmr;license_number;license_number_score;time_of_operation
0;Tablica 1;0,915557235;5,159824133
1;Tablica 1;0,916749209;0,97100091
2;Tablica 1;0,916951232;0,764029503
3;Tablica 1;0,914865717;0,51452136
4;Tablica 1;0,91407989;0,445997477
5;Tablica 1;0,913733296;0,50800252
6;Tablica 1;0,913698204;0,445900917
7;Tablica 1;0,913581833;0,494959116
8;Tablica 1;0,913746946;0,451001644
9;Tablica 1;0,913655996;0,43000102
10;Tablica 1;0,916804403;0,513443947
11;Tablica 1;0,918243013;0,488002777
12;Tablica 1;0,917956121;0,848657846
13;Tablica 1;0,916163377;0,62899828
14;Tablica 1;0,915353991;0,683000088
15;Tablica 1;0,915301539;0,890007496
16;Tablica 1;0,91575072;0,971200943
17;Tablica 1;0,920194112;1,066001654
18;Tablica 1;0,916821107;0,560489893
19;Tablica 1;0,918403335;0,949239731
20;Tablica 1;0,91913332;0,619515657
21;Tablica 1;0,918893933;0,451592684
22;Tablica 1;0,919668898;0,776546717
26;Tablica 1;0,924002782;0,643853664
27;Tablica 1;0,924489155;0,561579704
28;Tablica 1;0,916115314;0,917751789
29;Tablica 1;0,917134292;0,627606869
30;Tablica 1;0,919442385;0,68633604
31;Tablica 1;0,917767823;0,748852015
32;Tablica 1;0,920284651;0,667318106
33;Tablica 1;0,919993453;0,580340624
34;Tablica 1;0,920230053;0,741086483
35;Tablica 1;0,915277399;0,631850243
36;Tablica 1;0,917173326;0,636850119
37;Tablica 1;0,915763341;0,794240952
40;Tablica 1;0,918187499;0,722001791
41;Tablica 1;0,915557235;0,668583155
42;Tablica 1;0,916749209;0,662997961
43;Tablica 1;0,916951232;0,666997671
44;Tablica 1;0,914865717;0,651897907
45;Tablica 1;0,91407989;0,649043083
46;Tablica 1;0,913733296;0,627884388
;;;
;;;
;;0,916978702;0,774262116
