frame_nmr;license_number;license_number_score;time_of_operation
72;Tablica 2;0,916397486;0,449998617
73;Tablica 2;0,925689663;0,469999075
74;Tablica 2;0,923741307;0,453999043
75;Tablica 2;0,926656578;0,491998196
76;Tablica 2;0,934830053;0,4670012
77;Tablica 2;0,920575406;0,547998667
78;Tablica 2;0,913961342;0,450002193
80;Tablica 2;0,919593317;0,435001135
81;Tablica 2;0,920203728;0,43700099
82;Tablica 2;0,927861588;0,445001364
83;Tablica 2;0,920877312;0,46099472
84;Tablica 2;0,916156207;0,458000183
85;Tablica 2;0,926632736;0,457999468
87;Tablica 2;0,936070791;0,528998375
88;Tablica 2;0,930337523;0,579998493
89;Tablica 2;0,919030121;0,444000483
90;Tablica 2;0,914771259;0,551998377
91;Tablica 2;0,930428105;0,444999933
92;Tablica 2;0,92076884;0,457999945
93;Tablica 2;0,925134361;0,454003334
94;Tablica 2;0,927863027;0,432002306
95;Tablica 2;0,919150531;0,440006018
96;Tablica 2;0,90788097;0,434001446
98;Tablica 2;0,929958599;0,452001095
99;Tablica 2;0,914840979;0,428000689
100;Tablica 2;0,912036146;0,431998014
103;Tablica 2;0,927946006;0,423007727
104;Tablica 2;0,936689317;0,465005159
105;Tablica 2;0,93596994;0,557000637
107;Tablica 2;0,921656234;0,49699831
108;Tablica 2;0,919650299;0,435998678
109;Tablica 2;0,93791272;0,485001326
111;Tablica 2;0,925480638;0,547999144
112;Tablica 2;0,934113111;0,534000397
;;;
;;0,924143125;0,472059257
