frame_nmr;license_number;license_number_score;time_of_operation
78;Tablica 2;0,893902532;0,502002478
81;Tablica 2;0,899908602;0,575998306
82;Tablica 2;0,901631909;0,583997488
83;Tablica 2;0,899478759;0,480998278
84;Tablica 2;0,834374266;0,499000072
85;Tablica 2;0,883015403;0,458000422
87;Tablica 2;0,921416257;0,490001202
88;Tablica 2;0,904329845;0,458000898
89;Tablica 2;0,928538774;0,473002195
90;Tablica 2;0,921693351;0,426992416
91;Tablica 2;0,901421445;0,727999687
92;Tablica 2;0,910540538;0,470000744
93;Tablica 2;0,929171852;0,4739995
94;Tablica 2;0,91905943;0,439998627
95;Tablica 2;0,918972007;0,461002827
96;Tablica 2;0,889537173;0,466997147
97;Tablica 2;0,930105533;0,537002087
98;Tablica 2;0,908422879;0,446000338
99;Tablica 2;0,922170716;0,45800066
100;Tablica 2;0,925639118;0,437001467
101;Tablica 2;0,889388408;0,432999611
102;Tablica 2;0,928477032;0,442999363
103;Tablica 2;0,92102508;0,453997374
105;Tablica 2;0,916843534;0,4339993
106;Tablica 2;0,921339308;0,436995506
107;Tablica 2;0,916125579;0,592001915
108;Tablica 2;0,933610184;0,431998491
109;Tablica 2;0,938115844;0,53999877
111;Tablica 2;0,928124147;0,457001448
;;;
;;0,911599293;0,485792711
